rep16_frac2,dem16_frac2,dem08_frac2,dem12_frac2,rep08_frac2,rep12_frac2,LessThanHighSchool,AtLeastHighSchoolDiploma,AtLeastBachelorsDegree,MedianEarnings2010dollars,PovertyRatebelowfederalpovertythreshold,Managementprofessionalandrelatedoccupations,Serviceoccupations,Salesandofficeoccupations,Farmingfishingandforestryoccupations,Constructionextractionmaintenanceandrepairoccupations,Productiontransportationandmaterialmovingoccupations,Uninsured,Unemployment
0.69643944,0.30356056,0.369998566,0.348045205,0.630001434,0.651954795,23.9,76.1,12.6,23166.85683,16.5,24.85,18.15,24.1,2.9,11.75,18.3,0.204,0.082
0.563997006,0.436002994,0.455700124,0.445369754,0.544299876,0.554630247,19.7,80.3,12.4,20199.84794,18.85,25.55,10.75,20.45,2.15,7.55,33.55,0.203,0.103
0.759817967,0.240182033,0.40581854,0.356011832,0.59418146,0.643988168,22.2,77.8,11.1,22196.9708,19.4,28.55,14.7,21.45,1.7,12.45,21.25,0.205,0.099
0.626417346,0.373582654,0.358665795,0.324551874,0.641334205,0.675448126,27.2,72.8,8.8,21229.68,25.2,20.95,15.75,24.65,4.05,11.15,23.5,0.203,0.078
0.553118858,0.446881142,0.444694567,0.45627339,0.555305433,0.54372661,18.2,81.8,13.2,21437.53619,20.1,26.5,18.35,20.9,0.7,8.1,25.45,0.177,0.095
0.700332963,0.299667037,0.371252392,0.337153335,0.628747608,0.662846665,21.9,78.1,12.4,20240.65111,21.9,22.6,13.35,17.7,3.75,9.7,33,0.243,0.071
0.804420817,0.195579183,0.313527852,0.283633248,0.686472149,0.716366752,22,78,12.2,19121.64254,22.5,21.25,13.3,23.8,3.95,14.2,23.55,0.237,0.075
0.414642375,0.585357625,0.608824321,0.622084441,0.391175679,0.37791556,30.7,69.3,8.5,20397.47651,29.55,20.5,20.75,31.6,5.6,9.65,11.9,0.199,0.113
0.549475262,0.450524738,0.480788732,0.467377974,0.519211268,0.532622026,16.9,83.1,21.7,13886.0673,25.1,29.05,21.5,21.6,3.2,9.95,14.8,0.211,0.093
0.654032537,0.345967463,0.425322214,0.350191417,0.574677786,0.649808584,26.9,73.1,8.8,21919.52826,19.1,28.7,14.8,22.8,3.2,8.9,21.6,0.215,0.124
